UTC,NO,NO2,NOx
01-Jun-2022 05:00:00,1.75862981457957,14.0891676553068,15.8477974698863
01-Jun-2022 05:15:00,1.53200884404274,11.4495887215221,12.9815975655648
01-Jun-2022 05:30:00,1.75915006626496,14.5396018625477,16.2987519288127
01-Jun-2022 05:45:00,2.52593249959829,24.2615808155392,26.7875133151375
01-Jun-2022 06:00:00,8.19793014224262,38.9004575231503,47.0983876653929
01-Jun-2022 06:15:00,21.4231407440427,52.0252737642571,73.4484145082999
01-Jun-2022 06:30:00,22.6822731884872,53.9902224822059,76.672495670693
01-Jun-2022 06:45:00,23.3690196785555,53.600303569562,76.9693232481175
01-Jun-2022 07:00:00,27.1441692440427,52.4217414992999,79.5659107433426
01-Jun-2022 07:15:00,36.4166304107094,55.2312705591289,91.6479009698383
01-Jun-2022 07:30:00,37.0766239107094,55.7207695975905,92.7973935082999
01-Jun-2022 07:45:00,22.7390731981085,49.8465677509114,72.5856409490199
01-Jun-2022 08:00:00,12.2882124607094,42.1775724822058,54.4657849429152
01-Jun-2022 08:15:00,5.12132822182051,27.831703144599,32.9530313664195
01-Jun-2022 08:30:00,2.83061098293163,21.897728678787,24.7283396617187
01-Jun-2022 08:45:00,1.96093260034317,16.6537934707223,18.6147260710654
01-Jun-2022 09:00:00,1.53707251070941,11.3945518625477,12.9316243732571
01-Jun-2022 09:15:00,1.38823714404274,10.7545522898981,12.1427894339409
01-Jun-2022 09:30:00,1.23587534959829,8.04344470442805,9.27932005402634
01-Jun-2022 09:45:00,0.973276929952111,7.09607913896466,8.06935606891677
01-Jun-2022 10:00:00,2.00735970515385,12.8229659651118,14.8303256702657
01-Jun-2022 10:15:00,2.02860900515385,15.1629957728041,17.191604777958
01-Jun-2022 10:30:00,2.54868863386273,17.0956673426604,19.6443559765231
01-Jun-2022 10:45:00,13.3264427718205,23.3660513283597,36.6924941001802
01-Jun-2022 11:00:00,3.01475623848718,15.5867635078469,18.6015197463341
01-Jun-2022 11:15:00,3.00146416626496,13.3922798540007,16.3937440202657
01-Jun-2022 11:30:00,15.1920822372147,28.0818203293385,43.2739025665532
01-Jun-2022 11:45:00,25.4039896329316,34.8717864779323,60.2757761108639
01-Jun-2022 12:00:00,25.6384547440427,36.2349046403255,61.8733593843682
01-Jun-2022 12:15:00,13.6629955773761,27.529134661693,41.1921302390691
01-Jun-2022 12:30:00,13.145301410399,29.8709963069922,43.0162977173912
01-Jun-2022 12:45:00,14.5576348551539,31.0895198112657,45.6471546664195
01-Jun-2022 13:00:00,7.37339006070941,20.8326573112657,28.2060473719751
01-Jun-2022 13:15:00,5.02282887967278,12.9736740035972,17.99650288327
01-Jun-2022 13:30:00,3.7948307607094,10.6900393625477,14.4848701232571
01-Jun-2022 13:45:00,4.06112493293163,11.9156117984451,15.9767367313768
01-Jun-2022 14:00:00,4.5472359995983,13.8228301745135,18.3700661741118
01-Jun-2022 14:15:00,3.43550560592977,9.36804486737033,12.8035504733001
01-Jun-2022 14:30:00,2.60803603848718,7.23399000357335,9.84202604206053
01-Jun-2022 14:45:00,1.59458117737607,3.17958519588105,4.77416637325712
01-Jun-2022 15:00:00,1.66384483848718,5.10419299502634,6.76803783351353
01-Jun-2022 15:15:00,1.5944033657063,5.1405231656084,6.7349265313147
01-Jun-2022 15:30:00,0.562951516264961,-2.1709884045463,0.562951516264961
01-Jun-2022 15:45:00,0.243760171820517,-2.52294147078562,0.243760171820517
01-Jun-2022 16:00:00,0.299189171820517,-2.43999582975997,0.299189171820517
01-Jun-2022 16:15:00,0.441259455091776,-1.24005988123302,0.441259455091776
01-Jun-2022 16:30:00,-0.0598784226239279,-3.09938497505912,0
01-Jun-2022 16:45:00,0.123046229042739,-2.15951244300784,0.123046229042739
01-Jun-2022 17:00:00,0.0366316478292068,-2.67024559244918,0.0366316478292068
01-Jun-2022 17:15:00,-0.123264589290594,-2.1598596545463,0
01-Jun-2022 17:30:00,0.0651758179316283,-1.44969568018733,0.0651758179316283
01-Jun-2022 17:45:00,0.293492538487183,-2.17672741095655,0.293492538487183
01-Jun-2022 18:00:00,0.0846414103990396,-2.033227253386,0.0846414103990396
01-Jun-2022 18:15:00,0.314922677376072,3.78958986468446,4.10451254206054
01-Jun-2022 18:30:00,0.131365057931628,-1.76391531693946,0.131365057931628
01-Jun-2022 18:45:00,0.0237623912649615,-1.58741643873433,0.0237623912649615
01-Jun-2022 19:00:00,-0.108397857757385,-2.42299216528975,0
01-Jun-2022 19:15:00,-0.249223008735039,-1.95710467591382,0
01-Jun-2022 19:30:00,-0.0643091226239279,-2.81907433403348,0
01-Jun-2022 19:45:00,-0.0312003605506813,-2.25949771965159,0
01-Jun-2022 20:00:00,-0.244792355957261,-3.12738082975997,0
01-Jun-2022 20:15:00,-0.268663843179483,-2.57684684471724,0
01-Jun-2022 20:30:00,-0.177201567068372,-1.43561024215313,0
01-Jun-2022 20:45:00,-0.13267558960096,-1.72809514122442,0
01-Jun-2022 21:00:00,-0.0423364309572606,-0.322544932324079,0
01-Jun-2022 21:15:00,0.352719259598295,1.96688145656481,2.3196007161631
01-Jun-2022 21:30:00,0.37134630515385,2.62470378562464,2.99605009077849
01-Jun-2022 21:45:00,0.421346365706302,3.87829024768833,4.29963661339464
01-Jun-2022 22:00:00,0.561956799598294,4.59817472579559,5.16013152539388
01-Jun-2022 22:15:00,0.466922877376072,5.22017696938532,5.6870998467614
01-Jun-2022 22:30:00,0.395398719042739,2.43759983263319,2.83299855167593
01-Jun-2022 22:45:00,0.317052393639263,2.74763951713397,3.06469191077324
